Track Id,Track Name,Artist Name,Release Date,Peak Date,Spotify Popularity,Peak Rank,Posts,Views 2 Months Before Peak,Views 1 Month Before Peak,Views at Peak,Views 1 Month After Peak,Views 2 Months After Peak
17158836,Monkeys Spinning Monkeys,Kevin MacLeod,2014-12-30,2022-04-01,43.0,1,30600000,4441568.0,4612487.0,4900599.0,5155605.0,5393188.0
29425832,Oh No,Kreepa,2019-12-13,2023-02-15,48.0,1,19600000,36419115.0,36791474.0,37175198.0,37512994.0,37795313.0
30714512,Baila,Karl Wine,2020-07-31,2023-08-24,,1,15800000,2938159.0,2938159.0,2938159.0,2938159.0,2938159.0
24333981,Дикая львица,ALEX&RUS,2019-07-03,2023-09-11,47.0,2,18400000,44519632.0,44519632.0,45477346.0,46354759.0,47241769.0
69398679,とけいのうた,ののちゃん(村方乃々佳),2022-01-05,2023-05-26,30.0,2,18400000,246528.0,277201.0,306434.0,339685.0,362434.0
29249430,Savage (feat. Beyoncé) - Remix,Megan Thee Stallion,2020-04-29,2023-09-27,64.0,1,14600000,407357002.0,409644031.0,412014178.0,414127402.0,416060453.0
29644559,Bandook,Nirvair Pannu,2020-05-30,2023-01-07,60.0,6,12200000,18055013.0,18974016.0,19843570.0,20876475.0,21943383.0
31061637,Upside Down,JVKE,2020-08-18,2022-11-23,61.0,1,11500000,93866050.0,95559023.0,97174601.0,98777172.0,100415285.0
29745716,She Share Story,Shayne Orok,2020-06-02,2022-11-23,40.0,2,11700000,5462558.0,5568028.0,5462558.0,5462558.0,5462558.0
30789208,Se Acabó la Cuarentena,Jowell & Randy,2020-08-06,2023-01-04,58.0,6,11200000,61985928.0,62670738.0,63298456.0,64050429.0,64749653.0
83331455,Beat Automotivo Tan Tan Tan Viral,WZ Beat,2022-05-24,2023-05-29,43.0,1,31200000,5681663.0,5892097.0,6070047.0,6230665.0,6378329.0
28637630,Steven Universe,L.Dre,2020-02-21,2023-01-04,57.0,7,10500000,41464143.0,42291589.0,43004373.0,43765083.0,44533433.0
14145576,Ginseng Strip 2002,Yung Lean,2013-08-16,2023-02-15,70.0,5,10400000,208924207.0,214247190.0,219482301.0,224311165.0,228474353.0
26951096,Say So,Doja Cat,2019-11-07,2023-09-22,78.0,1,10100000,1109256464.0,1114437303.0,1119828055.0,1129981319.0,1109256464.0
20497349,Can We Kiss Forever?,Kina,2018-08-31,2023-01-08,,4,10100000,518570945.0,525610963.0,532330958.0,539939446.0,546582461.0
16928605,Dream Girl,Ir Sais,2017-09-27,2022-11-26,60.0,1,9900000,114487047.0,115497721.0,116436295.0,117296115.0,118202643.0
29924495,How You Like That,BLACKPINK,2020-06-25,2023-02-15,78.0,6,9900000,715006797.0,726750427.0,739567802.0,752452360.0,767855603.0
13646389,Run Free,Deep Chills,2017-08-18,2022-12-03,61.0,1,9600000,60185354.0,61886038.0,63469737.0,65348082.0,66821106.0
67502648,Sunroof,Nicky Youre,2021-11-26,2022-12-03,1.0,2,9600000,312504533.0,361565757.0,397866783.0,435465104.0,470360984.0
34784021,Funny Song,Cavendish Music,2021-04-19,2023-09-11,46.0,5,11700000,3974420.0,4175660.0,4383525.0,4599282.0,3974420.0
28009698,OUT WEST (feat. Young Thug),JACKBOYS,2019-12-27,2022-12-03,76.0,3,8600000,547507692.0,554526219.0,561167397.0,568987767.0,576608368.0
24008840,Everybody make some Tik Tok,Bounce O’Clock,2019-05-22,2023-02-17,19.0,12,8500000,478477.0,478477.0,485300.0,489758.0,478477.0
23902934,Astronaut In The Ocean,Masked Wolf,2019-06-07,2022-11-26,,2,7800000,1007359502.0,1021515280.0,1035614996.0,1049190137.0,1062488390.0
52404165,STAY (with Justin Bieber),The Kid LAROI,2021-07-09,2022-10-16,83.0,11,7800000,2024490953.0,2092466934.0,2156310539.0,2215290703.0,2271288786.0
29619218,Kimi No Toriko,Rizky Ayuba,2020-05-03,2023-01-04,13.0,14,9000000,16919920.0,17328984.0,17728243.0,18143780.0,18608301.0
75979639,Aesthetic,Tollan Kim,2022-03-04,2023-12-15,52.0,1,15700000,3682885.0,3831679.0,3682885.0,4390682.0,4576446.0
80001990,L$d,Luclover,2022-04-22,2023-01-08,51.0,6,7600000,26776700.0,26776700.0,26776700.0,26776700.0,26776700.0
31595311,F Boy,Ander Huang,2020-08-22,2023-09-14,27.0,5,7300000,1319912.0,1321048.0,1333604.0,1343223.0,1352103.0
46912439,The Magic Bomb,Hoàng Read,2021-04-20,2022-12-28,38.0,25,7100000,3245796.0,3316890.0,3378904.0,3452419.0,3523675.0
29155495,Party Girl,StaySolidRocky,2020-04-21,2023-12-10,74.0,2,6900000,662632990.0,667503623.0,672424275.0,662632990.0,687136079.0
28672165,You Got It,Vedo,2020-03-06,2022-12-02,70.0,2,6800000,302564849.0,306133433.0,309378904.0,312793329.0,316243373.0
32023663,Spongebob,Dante9k,2020-01-28,2023-01-08,,10,6500000,743611.0,752683.0,762094.0,781083.0,743611.0
83834967,Full Senyum Sayang,Evan Loss,2022-04-28,2024-04-12,9.0,18,8200000,17545389.0,17545389.0,17950975.0,17545389.0,17545389.0
14341447,Surrender,Natalie Taylor,2015-10-29,2023-12-05,,2,6100000,375900163.0,378369082.0,383520833.0,386189849.0,375900163.0
28195583,Ocean Sounds,Sea Waves Sounds,2019-06-11,2023-01-07,43.0,20,5500000,2209371.0,2300963.0,2380354.0,2457855.0,2542741.0
31221266,SugarCrash!,ElyOtto,2020-08-25,2023-11-28,71.0,3,5300000,332266844.0,336113202.0,339728728.0,343156503.0,346628044.0
92083777,Oublie-moi,Emkal,2022-09-16,2022-11-29,49.0,11,7900000,654978.0,654978.0,654978.0,654978.0,654978.0
14293833,Happy Birthday to You,Nursery Rhymes,2014-05-01,2023-09-12,10.0,8,6100000,9734890.0,9753082.0,9814647.0,9879090.0,9945716.0
99368384,Hundred Miles (Sped Up Version),Yall,2023-02-03,2023-08-29,56.0,40,5200000,9083325.0,10083670.0,10989922.0,11768990.0,12482316.0
100902105,มองนานๆ,FLI:P,2023-04-07,2024-04-12,51.0,21,9700000,7015112.0,7267414.0,7505978.0,7015112.0,7015112.0
98723426,Flowers,Miley Cyrus,2023-01-13,2023-09-26,92.0,1,5500000,1331695510.0,1413516426.0,1488867003.0,1547807482.0,1602711475.0
93812410,Commando,Mavokali,2022-09-28,2023-09-07,2.0,50,5400000,17099378.0,17099378.0,17546807.0,18401559.0,17099378.0
93837750,girls like me don't cry,thuy,2022-10-06,2023-09-07,69.0,16,9200000,25527179.0,26024878.0,33613461.0,40171433.0,45347965.0
82529068,Chill Vibes,Tollan Kim,2022-03-31,2023-12-20,41.0,3,6500000,746514.0,784871.0,878337.0,929795.0,746514.0
30955497,Baarish,Payal Dev,2020-08-11,2023-09-07,49.0,44,5700000,8771069.0,8771069.0,9018085.0,9522405.0,8771069.0
11496227,Barbie Girl - I'm a Barbie Girl,Lady Aqua,2012-08-24,2024-02-12,52.0,53,6000000,19889942.0,20336597.0,20740845.0,21504134.0,21886095.0
100495456,LALA,Myke Towers,2023-03-23,2024-02-12,87.0,50,5400000,680172505.0,739643742.0,791629284.0,831798871.0,866960765.0
28844457,Genda Phool (feat. Payal Dev),Badshah,2020-03-26,2023-09-21,63.0,4,4500000,73303432.0,73809361.0,74960646.0,76316954.0,77547623.0
29701771,Stuck In The Middle,Tai Verdes,2020-05-29,2023-09-24,61.0,3,4000000,131268265.0,131829008.0,133077550.0,134321686.0,131268265.0
24225427,Dancing With Your Ghost,Sasha Alex Sloan,2019-06-28,2023-09-27,78.0,5,3600000,468738803.0,475023167.0,481312811.0,494254009.0,468738803.0
15674027,Take It Off,Kesha,2010-11-19,2023-12-12,70.0,1,3500000,175117657.0,178496513.0,180339523.0,175117657.0,186331947.0
14215048,Sure Thing,S.O.,2011-06-28,2023-09-24,8.0,5,3300000,117744.0,117988.0,118592.0,118856.0,119396.0
18831630,Candy,Doja Cat,2018-03-23,2022-01-07,79.0,4,2900000,236081189.0,236081189.0,236081189.0,236081189.0,238674745.0
31077815,Dynamite,BTS,2020-08-21,2022-11-23,81.0,11,2700000,1481134456.0,1507245287.0,1530801422.0,1553143939.0,1575312550.0
105045300,Anabella,Khaid,2023-07-14,2023-11-30,62.0,11,2700000,4007188.0,5763795.0,7198460.0,8732351.0,10178543.0
15778873,Hips Don't Lie (feat. Wyclef Jean),Shakira,2009-04-10,2023-10-18,87.0,4,2100000,1349065565.0,1363281595.0,1386031214.0,1414421609.0,1349065565.0
30521029,Deep End,Fousheé,2020-07-31,2022-11-26,63.0,8,2100000,237036275.0,239727330.0,242472378.0,244956677.0,247454252.0
24951284,Cruel Summer,Taylor Swift,2019-08-23,2023-09-26,96.0,2,2200000,910434252.0,997825073.0,910434252.0,1239311929.0,910434252.0
22886113,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2019-04-25,2023-09-24,72.0,9,1900000,605244030.0,605244030.0,611136803.0,616803031.0,605244030.0
41414073,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",Internet Money,2021-05-13,2023-09-24,24.0,10,1800000,209174862.0,209174862.0,211346243.0,213361787.0,214426823.0
31894832,WITHOUT YOU,The Kid LAROI,2020-11-06,2023-09-22,77.0,12,1800000,846233502.0,853963660.0,861534103.0,868894575.0,876748168.0
29592223,TKN (feat. Travis Scott),ROSALÍA,2020-05-28,2023-09-27,69.0,11,1700000,415572587.0,419920668.0,423407373.0,426553794.0,429362467.0
33735279,MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,2023-09-23,79.0,1,1600000,1745706165.0,1755618719.0,1774689967.0,1782878593.0,1800910134.0
29989564,Muffins In The Freezer,Tiagz,2020-07-03,2023-12-19,41.0,22,1400000,14754546.0,14825501.0,14897310.0,14972951.0,15045148.0
28242824,Skechers,DripReport,2020-01-12,2023-09-24,68.0,13,1400000,374180729.0,374180729.0,377116699.0,379969567.0,374180729.0
27222889,Watermelon Sugar,Harry Styles,2019-11-17,2023-09-22,88.0,21,1300000,2353677438.0,2353677438.0,2393545725.0,2431200591.0,2450434374.0
18232032,This City,Sam Fischer,2018-01-19,2023-12-13,71.0,8,1300000,591227528.0,595577722.0,599981454.0,607885172.0,611967636.0
29186474,Put Your Records On,Ritt Momney,2020-04-24,2023-12-11,,10,1300000,567774699.0,570740524.0,573892249.0,580151407.0,583405133.0
29751924,Savage Love (Laxed - Siren Beat),Jawsh 685,2020-06-11,2023-09-24,74.0,16,1300000,1055403739.0,1055403739.0,1063576853.0,1071114258.0,1075024796.0
56253931,อยู่เฉยๆ ก็น่ารัก,น้ำ นาราภัทร,2021-06-06,2023-10-12,10.0,9,1300000,19301.0,20425.0,21909.0,23345.0,19301.0
28795304,Roses - Imanbek Remix,SAINt JHN,2019-10-09,2023-09-27,40.0,14,1200000,1788623606.0,1801667578.0,1815217771.0,1827772607.0,1840543504.0
31943276,Dancing in My Room,347aidan,2020-10-26,2023-10-04,68.0,21,1100000,306871703.0,310124946.0,313255777.0,316236768.0,319128687.0
22674262,My Type,Saweetie,2019-03-29,2023-09-27,73.0,18,1000000,342046511.0,342046511.0,346276512.0,350255255.0,342046511.0
24955524,SUGAR,BROCKHAMPTON,2019-06-22,2023-12-14,70.0,10,995200,482894256.0,486298864.0,489570227.0,492624056.0,495706224.0
15675733,Up Down (Do This All Day),T-Pain,2005-01-01,2023-12-11,70.0,14,992800,231390445.0,234386966.0,237326308.0,240348821.0,243499318.0
31146493,Tetap Disini,Tri Suaka,2018-08-29,2023-09-27,51.0,21,903700,7181865.0,7261109.0,7525518.0,7918444.0,8121520.0
50646379,Chama pelo Apelido,DJ ENZO ÚNICO,2021-06-08,2023-09-27,,22,890700,8165738.0,8183057.0,8209596.0,8233302.0,8165738.0
30776834,No Guidance (Remix),Quise UE,2020-08-01,2023-09-27,,23,884600,5683146.0,5683146.0,5683146.0,5712538.0,5762982.0
22645941,Iris,Natalie Taylor,2019-03-22,2023-12-11,54.0,15,873800,23614861.0,24104187.0,24578471.0,25018870.0,25494564.0
13725931,Tala,Sarah Geronimo,2015-12-04,2023-09-27,54.0,26,858400,49538247.0,49709761.0,50067381.0,50387514.0,49538247.0
100917380,Peaches,Jack Black,2023-04-07,2023-09-26,71.0,7,832400,94179362.0,102661107.0,108851603.0,113922308.0,118337219.0
13404820,Colors,Stella Jang,2016-10-06,2023-12-08,53.0,10,685600,26768074.0,26768074.0,27421476.0,26768074.0,26768074.0
104314602,stellar,.diedlonely,2023-06-23,2023-12-17,73.0,12,813700,8408024.0,11576808.0,14922642.0,18503488.0,23252849.0
29912194,Hatchback,Cochise,2019-09-23,2023-12-17,64.0,13,811500,151480984.0,153703416.0,155775547.0,157690581.0,159698631.0
82266111,Another Love (Tiësto Remix),Tom Odell,2022-05-13,2023-09-27,75.0,29,807900,78846679.0,82295519.0,89905691.0,96664883.0,78846679.0
28005483,"Alone, Pt. II",Alan Walker,2019-12-27,2023-10-04,74.0,28,782200,505624329.0,511634030.0,523172995.0,529269353.0,505624329.0
19169039,"Genius (feat. Sia, Diplo, and Labrinth)",Sia,2018-05-03,2023-12-08,77.0,3,780600,490402306.0,499938946.0,509162567.0,517797738.0,526512970.0
12491929,Summer,Calvin Harris,2014-11-12,2023-12-16,85.0,18,768900,1316448569.0,1316448569.0,1345558482.0,1316448569.0,1316448569.0
20318958,SICKO MODE,Travis Scott,2018-08-03,2023-12-16,84.0,20,743100,1950316703.0,1969931317.0,1995235343.0,2020080575.0,2045123528.0
11831010,Astronomia,Tony Igy,2016-09-02,2023-12-08,43.0,8,737800,21085009.0,21205780.0,21325115.0,21438799.0,21555971.0
28188822,Any song,ZICO,2020-01-13,2023-12-12,64.0,25,695600,159383976.0,160931368.0,162436531.0,163849510.0,165323058.0
29042964,Young Shahrukh,Tesher,2020-05-22,2023-09-24,59.0,33,679300,66547369.0,66547369.0,67487065.0,68406572.0,66547369.0
28855400,Favorito,Camilo,2020-03-26,2023-12-11,64.0,23,676900,470348242.0,471878500.0,470348242.0,476653519.0,478295411.0
28667532,They Call Me Tiago (Her Name Is Margo),Tiagz,2020-02-27,2023-09-24,52.0,35,651100,82383580.0,82383580.0,82717204.0,83049551.0,82383580.0
28997801,MAMACITA,Black Eyed Peas,2020-04-10,2023-12-16,65.0,30,624900,509929150.0,511203814.0,509929150.0,515775788.0,509929150.0
31951346,HOLIDAY,Lil Nas X,2020-11-13,2023-10-04,69.0,33,624400,514988485.0,518879030.0,523087632.0,528055729.0,532217236.0
12813880,Night Changes,One Direction,2015-05-18,2023-12-14,89.0,30,587100,1332648984.0,1332648984.0,1332648984.0,1332648984.0,1355611262.0
24558328,GOOD TIME,Niko Moon,2019-07-19,2023-12-11,66.0,26,564500,147368267.0,149423963.0,150340722.0,147368267.0,153149225.0
13841820,Eazy,Eric Bellinger,2015-12-04,2023-09-27,13.0,39,553300,834117.0,836029.0,838987.0,841492.0,844410.0
14606770,Con El Pompi Pa' 'rriba,Mala Fe,2006-11-14,2023-10-04,50.0,39,547800,8806961.0,9092175.0,9236374.0,9477624.0,8806961.0
16403355,Anlatamam,Toygar Işıklı,2016-10-12,2023-12-18,63.0,28,534400,24556412.0,25982984.0,27432616.0,28799354.0,30192049.0
112833922,"This Wish - From ""Wish""",Ariana DeBose,2023-10-18,2023-12-03,,5,4600000,9278813.0,9278813.0,9278813.0,9278813.0,12398585.0
112901954,"This Is The Thanks I Get?! - From ""Wish""",Chris Pine,2023-11-17,2023-11-29,,14,2400000,4717449.0,4717449.0,4717449.0,4717449.0,6094436.0
99306769,My Baby,Diamond Platnumz,2023-02-03,2023-11-28,37.0,12,2100000,785359.0,841936.0,895890.0,948123.0,987494.0
102472718,GENTO,SB19,2023-05-19,2023-12-10,65.0,15,1900000,25334839.0,28904926.0,31557362.0,34052430.0,36201384.0
92688538,Si No Estás,iñigo quintero,2022-09-23,2023-12-09,89.0,8,1800000,50451027.0,214985036.0,341561149.0,426934558.0,496531297.0
97478926,MERCHO,LiL CaKe,2022-12-16,2023-12-19,75.0,16,1800000,305915760.0,316855582.0,328015660.0,337487477.0,345077966.0
111368629,Right Now (Feat. Crush),Coogie,2023-09-12,2023-10-12,,14,1700000,48154.0,48154.0,504558.0,2482928.0,4257713.0
93681306,Tubarão Te Amo,Dj LK da Escócia,2022-09-28,2023-10-18,66.0,8,1500000,128517485.0,131555357.0,134211531.0,136545934.0,138802915.0
106970215,Mahiye Jinna Sohna Slowed + Reverb,Darshan Raval,2023-07-27,2023-12-02,44.0,21,1400000,663433.0,873624.0,1076712.0,1248675.0,1387626.0
95739579,Musik Tiktok,Dj unodhowhow,2022-08-24,2023-12-20,24.0,19,1400000,57880.0,61533.0,57880.0,75116.0,57880.0
111451067,My Love Mine All Mine,Mitski,2023-09-15,2023-10-18,95.0,18,1300000,27489.0,1621452.0,85706517.0,217774095.0,359242626.0
103632898,"Steal The Show - From ""Elemental""",Lauv,2023-06-02,2023-10-24,77.0,43,1200000,23854500.0,34544825.0,49723910.0,61578356.0,71028774.0
111999490,Cắt Đôi Nỗi Sầu,Tăng Duy Tân,2023-09-28,2023-12-15,,16,1600000,897182.0,2683401.0,3849451.0,4614767.0,5265453.0
105045257,Enjoy,Jux,2023-07-14,2023-10-12,45.0,11,1000000,651790.0,1696614.0,2723353.0,3713885.0,4423413.0
99075457,"Cupid, Pt. 1",DJ Smallz 732,2023-01-22,2023-11-04,8.0,83,972400,2368055.0,2368055.0,2368055.0,2578490.0,2934345.0
101350182,Little Girl Gone,CHINCHILLA,2023-04-21,2023-10-04,6.0,23,957700,46749973.0,46749973.0,52858251.0,59010910.0,64801912.0
16491146,The Cuppycake Song,Buddy Castle,1995-01-01,2023-12-09,49.0,6,2800000,15999268.0,16218858.0,16745907.0,17003354.0,15999268.0
89082015,Pink Venom,BLACKPINK,2022-08-19,2023-12-20,75.0,11,2000000,611634456.0,625901669.0,641914614.0,656222228.0,670377755.0
14322683,Don't Talk to Me (feat. Lycia Faith),Tre Coast,2015-04-07,2023-12-04,19.0,35,1200000,10161671.0,10161671.0,10161671.0,10452452.0,10971600.0
112919048,Problema,Carlos Agassi,2023-09-27,2023-12-06,,41,1200000,2513.0,39207.0,77117.0,95224.0,103717.0
21492262,I'll Be There For You,I'll Be There For You,2011-10-05,2023-12-06,13.0,40,1200000,104488.0,106185.0,107586.0,104488.0,109753.0
20037907,Perra,Elilluminari,2018-06-15,2023-12-09,59.0,22,1100000,28488252.0,29565225.0,30349668.0,31010295.0,31674284.0
113108895,Benjamins Deli,JRitt,2023-10-24,2023-12-06,,47,1000000,25673.0,25673.0,354823.0,602955.0,747353.0
104108439,Orquestra Maldita,TRASHXRL,2023-06-15,2023-12-05,37.0,88,765800,34455178.0,47642257.0,59156438.0,68975885.0,79550556.0
29402453,Yours,Raiden,2020-05-12,2023-11-30,64.0,94,759100,101972909.0,103986306.0,105730555.0,107583468.0,109384351.0
111727987,Real Love,Martin Garrix,2023-09-22,2023-12-06,,85,752900,4216556.0,9269690.0,12759999.0,15116143.0,17397377.0
